zipcode_rank,zipcode,zipcodeAVGcost
1,97035,2950000.0
2,97231,1071997.9166666667
3,97210,859282.796875
4,97221,843569.7441860465
5,97219,832033.2554744525
6,97239,785860.5492957747
7,97212,761756.9821428572
8,97202,733336.7032967033
9,97225,731980.2631578947
10,97215,724125.9375
11,97201,721046.5431034482
12,97209,718758.8333333334
13,97229,713472.2801556421
14,97223,663131.7586206896
15,97214,642804.65625
16,97224,627844.6666666666
17,97205,608732.1428571428
18,97211,601271.9680851063
19,97227,581985.7142857143
20,97213,548657.6086956522
21,97232,522102.0833333333
22,97217,489928.0074074074
23,97218,482155.51851851854
24,97204,479900.0
25,97203,458068.1014492754
26,97222,454900.0
27,97206,442185.9090909091
28,97220,423384.73214285716
29,97230,412757.4155844156
30,97236,402241.0447761194
31,97216,378422.18518518517
32,97266,376502.7619047619
33,97233,354282.9268292683
